"","x"
"1252","KRT73"
"1253","FKBP1A"
"1254","CENPJ"
"1255","GPRASP1"
"1256","PDE7A"
"1257","ZNF540"
"1258","MAP1A"
"1259","ATAD5"
"1260","HIF1A"
"1261","ID1"
"1262","TNFRSF25"
"1263","STK39"
"1264","RAB27A"
"1265","GTSCR1"
"1266","ZNF83"
"1267","CCDC137"
"1268","KATNAL1"
"1269","PDK1"
"1270","TMEM107"
"1271","KNOP1"
"1272","RASA2"
"1273","PBX1"
"1274","TBC1D4"
"1275","ZBTB44"
"1276","PPP1R3E"
"1277","BAZ2B"
"1278","ZNF101"
"1279","CCDC146"
"1280","B4GALT1"
"1281","NPAT"
"1282","MTURN"
"1283","TNFRSF17"
"1284","IPP"
"1285","BPGM"
"1286","DGKE"
"1287","CD28"
"1288","RPS27"
"1289","ANKRD49"
"1290","CCDC65"
"1291","PPM1L"
"1292","APOBR"
"1293","LINC00649"
"1294","GDF11"
"1295","NPRL2"
"1296","ZMYND8"
"1297","C1orf56"
"1298","GSTM2"
"1299","LINC00662"
"1300","CASP1"
"1301","ENKUR"
"1302","CCDC102A"
"1303","SVIP"
"1304","NLRP3"
"1305","PTPRN2"
"1306","LINC00092"
"1307","RNF144A"
"1308","OASL"
"1309","NNT-AS1"
"1310","PIK3C2B"
"1311","MDS2"
"1312","ZNF791"
"1313","ARPC3"
"1314","TRIM56"
"1315","E2F5"
"1316","CCDC28B"
"1317","EPHX2"
"1318","GAPT"
"1319","ZNF699"
"1320","IL6"
"1321","MXD1"
"1322","TTF1"
"1323","ZNF708"
"1324","CCDC88A"
"1325","CCDC88C"
"1326","KCTD12"
"1327","TNFRSF9"
"1328","AFAP1"
"1329","UBR1"
"1330","IRF9"
"1331","LRIG1"
"1332","GBP4"
"1333","ODC1"
"1334","MDC1"
"1335","TYMS"
"1336","PAWR"
"1337","HERC2"
"1338","HMGN5"
"1339","ZNF836"
"1340","PTPN6"
"1341","RBL1"
"1342","CKB"
"1343","ZEB1"
"1344","ATP10A"
"1345","CAMK2N1"
"1346","LIG1"
"1347","SYNM"
"1348","ENOSF1"
"1349","CBX7"
"1350","ERV3-1"
"1351","WDR74"
"1352","LTA4H"
"1353","WEE1"
"1354","HECTD2"
"1355","NAIP"
"1356","NME8"
"1357","GMPR"
"1358","CCR10"
"1359","FAM13A"
"1360","HCG18"
"1361","EIF4G3"
"1362","PBX4"
"1363","ZNF737"
"1364","ACTN1"
"1365","SERTAD1"
"1366","USP53"
"1367","PLEKHA2"
"1368","EHD3"
"1369","ERRFI1"
"1370","CYP27A1"
"1371","PLCL1"
"1372","ATXN1"
"1373","CAPN5"
"1374","CEP250"
"1375","SH3YL1"
"1376","ZHX2"
"1377","ZBTB41"
"1378","CENPK"
"1379","LMO7"
"1380","CEP135"
"1381","ZFP14"
